id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8369226,Private Loft in the Cedars...,40538295,Aimee,,Dunbar Southlands,49.233020935972334,-123.18358044456177,Entire home/apt,99,2,62,2017-10-04,2.88,1,121
19736545,SPARROWS NEST BEST LIL ROOM TO REST,135069941,Cindy,,Dunbar Southlands,49.22841318772863,-123.19901034429715,Private room,78,1,9,2017-09-17,3.29,1,145
5941855,Luxury New 3 Bedroom Coach House,7324823,Mike And Kate,,Dunbar Southlands,49.240233303224365,-123.18457356281846,Entire home/apt,250,3,39,2017-09-24,1.32,2,315
18477085,ON SALE! UBC Vancouver Golf Course View Bungalow,8697138,Jessica,,Dunbar Southlands,49.23498107159414,-123.20026720975592,Entire home/apt,780,3,2,2017-08-20,0.88,4,362
12306462,Elegant Home with Sunny Deck & Pool,1248121,Lori,,Dunbar Southlands,49.240603840199626,-123.19050005221054,Entire home/apt,426,3,1,2016-08-27,0.07,3,0
13419885,2 BR 3 BD Great location,16641764,Fiona,,Dunbar Southlands,49.256176321866775,-123.18684600505239,Entire home/apt,140,2,64,2017-09-30,4.09,1,137
20788901,Monet's home,65615363,Shen,,Dunbar Southlands,49.24390193058548,-123.18631708864751,Private room,69,1,3,2017-09-22,3,1,362
19180564,Modern 2BRM/2Bath Westside Condo,22374806,Julie,,Dunbar Southlands,49.23512733592039,-123.18609471340056,Entire home/apt,200,5,3,2017-08-31,1.70,1,63
15957934,Private room-3 near UBC,73238515,Cora,,Dunbar Southlands,49.234328281116944,-123.19290397642312,Private room,60,1,1,2017-04-01,0.16,19,55
16755,Elegant Dunbar B&B-close to UBC,65078,Joanne,,Dunbar Southlands,49.255724590582126,-123.19079185999793,Private room,195,3,0,,,1,157
13885159,Upper fl with two bedrooms and one sofa bed,73238515,Cora,,Dunbar Southlands,49.234123759690384,-123.19339390962726,Private room,220,1,9,2017-08-06,0.62,19,90
11123681,Beautiful Quiet English Heritage Vacation Home,6203239,Darrell,,Dunbar Southlands,49.235427641057065,-123.18625868046772,Entire home/apt,300,4,1,2017-08-09,0.51,1,115
2570965,*Total Privacy+Separate Entry*,19916,Cathy + Tom,,Dunbar Southlands,49.23900277823019,-123.18095872064356,Private room,80,2,227,2017-10-01,5.45,2,21
10992078,Cozy Modern 2BR Suite Near UBC,37451224,Karen,,Dunbar Southlands,49.253406108610655,-123.177783073999,Entire home/apt,120,3,65,2017-09-17,3.27,1,296
18181035,Female ONLY Convenient Quiet  Private 2br Suite,113436379,Lee,,Dunbar Southlands,49.24957125296854,-123.17552857649592,Entire home/apt,85,1,5,2017-06-23,1.26,2,123
19662425,Room Near UBC Vancouver,138436761,Fahad,,Dunbar Southlands,49.25717797592913,-123.19496905337348,Private room,43,30,2,2017-08-19,0.69,1,0
12593594,Modern family home/Vancouver's Dunbar neighborhood,68321264,Nicole,,Dunbar Southlands,49.252615432297986,-123.18167788974166,Entire home/apt,300,2,7,2017-08-15,0.46,1,0
20537405,"New 2BDR suite,quiet & nice in Vancouver west",146641358,Kathy,,Dunbar Southlands,49.24462391870518,-123.1736341922756,Entire home/apt,155,1,12,2017-10-01,7.50,1,154
7764603,Cosy arts and craft house in Dunbar,40834861,Alexandra,,Dunbar Southlands,49.238543452116566,-123.17965002088141,Entire home/apt,300,3,0,,,1,0
5659689,Beautifully renovated 3 bed home,29335268,Elizabeth,,Dunbar Southlands,49.23119503607223,-123.1866429354548,Entire home/apt,300,3,7,2017-09-02,0.26,1,97
8535966,New 1 Bedroom/Studio Apartment,6542094,Lindsey,,Dunbar Southlands,49.2346761541935,-123.18669254038579,Entire home/apt,100,2,0,,,1,0
16415903,Master Bedroom in Beautiful Character House,1125653,Sage,,Dunbar Southlands,49.24358299448025,-123.17774848765123,Private room,59,3,1,2017-01-10,0.11,2,32
16585897,"Undesignated Heritage Home, Dunbar",32878305,Alexandra,,Dunbar Southlands,49.248359048355375,-123.18525142392062,Private room,45,3,11,2017-09-05,1.42,1,36
3522508,Charming basement suite - near UBC,3527628,John & Erin,,Dunbar Southlands,49.23201074594435,-123.20810016928516,Entire home/apt,125,1,136,2017-09-18,3.48,1,47
15957774,Private room-2 near UBC,73238515,Cora,,Dunbar Southlands,49.23436731355247,-123.19362356940218,Private room,50,1,1,2017-04-27,0.16,19,90
6897283,Collingwood Cottage near Dunbar,36141263,TerenceAshley,,Dunbar Southlands,49.25596275487707,-123.18075259681135,Private room,119,4,17,2017-09-10,0.61,2,364
13480736,west coast style house in park like setting,77189590,Les,,Dunbar Southlands,49.23001319568332,-123.19690954292415,Private room,59,1,75,2017-08-28,4.79,2,82
2063064,KingEd Garden Suite/Character Home,10557778,Trudy,,Dunbar Southlands,49.25132518605899,-123.17862100278334,Entire home/apt,195,1,78,2017-08-29,1.70,1,117
14187105,West King Edward Bedroom#1,5164882,Dagmar & Angelo,,Dunbar Southlands,49.25005112345502,-123.18230877992792,Private room,80,3,2,2017-07-30,0.47,2,278
